Q9P287,P21246
P24534,P26641
P29692,P26641
Q9Y333,P62310
O95376,P68104
O95376,P26641
O95376,P68036
Q9BPX5,P59998
Q9BX70,Q9NPI1
Q9BX70,P68104
P47756,Q9P287
P55774,P68104
Q99832,P26641
P60953,P26641
P60953,Q13432
P11802,P42772
Q96SN8,P26641
P42773,P04637
P42773,Q13432
O14579,P53621
Q14061,Q13432
P16870,Q5UIP0
P33240,Q12873
P33240,P26641
O43261,P68104
O43261,P26641
P84090,P04637
Q96AE4,Q04724
P61604,Q9UKR5
P61604,P68104
Q16363,P68104
P62310,P68104
Q15102,Q9NPI1
Q15102,Q14194
Q15102,P68104
O00231,Q9NPI1
O00231,Q14194
O00231,P68104
Q13200,P21246
P21246,Q12873
P29074,P26641
Q13332,P26641
Q13332,Q13432
P15927,Q14194
P15927,P68104
P15927,Q5UIP0
P15927,Q04724
P15927,P07437
P05386,Q9NPI1
P05386,P68104
P05386,P07437
Q13228,Q5UIP0
P50453,Q9NPI1
P50453,Q14194
P50453,P68104
O43765,P21246
Q53FA7,Q13432
Q9NPA5,Q9NTW7
Q04724,P17028,Q14194
P17028,P68104
P17028,P26641
P17028,P04637
P63261,P35080
P05091,Q9UKR5
Q8TF21,Q13432
O95376,P21246
O95376,P62917
O95376,P04637
P36542,Q00013
P36543,O75348
O15169,Q14194
O15169,P68104
Q9BX70,Q14194
Q9BX70,Q04724
Q9BX70,P04637
Q9BX70,Q13432
P55774,Q14194
P55774,P04637
P55774,Q13432
Q99832,Q14194
P60953,Q5UIP0
P60953,P04637
P11802,P04632
Q96SN8,Q14194
P42773,Q5UIP0
P33552,P68104
P33552,Q13432
Q14061,Q5UIP0
P16870,P27694
P16220,Q12873
P33240,Q9UKR5
Q08345,P02766
P36957,Q9UKY1
P68104,P35080
P29692,Q14194
P26641,Q13011
P26641,O94762
P20042,Q04724
P20042,P04637
P20042,Q13432
P84090,Q04724
Q96AE4,Q12873
Q96AE4,P08670
Q8TF65,P21246
P78417,P26641
P30519,P26641
P61604,Q14194
P61604,Q5UIP0
P61604,Q04724
P61604,Q13432
Q15046,P26641
Q16363,Q9NPI1
Q16363,Q5UIP0
Q16363,P04637
Q16363,P07437
Q16363,Q13432
Q9Y333,Q9UKR5
Q9Y333,Q14194
P62310,O60383
Q15013,P04637
Q99547,Q04724
Q99547,P04637
O15235,Q5UIP0
E9PAV3,Q13765
Q5UIP0,P46459,Q9UKR5
P46459,P05386
Q15102,Q5UIP0
Q15102,Q04724
Q15102,P04637
Q15102,P07437
Q15102,Q13432
P22234,P22234
Q9UN74,Q04724
Q9UN74,P04637
Q9UN74,Q13432
O14737,P26641
P19387,Q5UIP0
Q9H1D9,Q9UKR5
Q9H1D9,Q5UIP0
P67775,P21246
P60900,P25788
O00231,P26641
O00231,P21246
O00231,Q5UIP0
O00231,Q04724
O00231,P04637
O00231,P07437
O00231,Q13432
Q13200,Q5UIP0
Q13200,Q13432
P29074,P68104
Q13332,P21246
Q03393,Q03393
Q9UI14,P07437
Q06609,Q12873
P40937,Q5UIP0
P40937,Q13432
P41220,Q9Y2X7
P15927,P05386
P15927,Q13432
P05386,P21246
P05386,Q5UIP0
P48443,Q07869
Q13228,P27694
P50453,Q5UIP0
P50453,Q04724
P50453,P04637
P50453,P07437
P50453,Q8IWV7
P50453,Q13432
O43765,P35080
Q8N6T7,Q12873
P12236,P08670
Q9Y2P4,Q12873
Q16637,Q5UIP0
P60880,Q16623
P63162,P04637
P49888,P04637
P49888,Q13432
Q16594,P68104
P01033,Q13011
P01033,P24534
P04183,Q14194
P04183,Q5UIP0
P04183,Q04724
P04183,P04637
