Q12789	Q9Y5Q8
Q14566	P25205
P62191	Q15008
Q99436	P25786
P28340	P49005
P25787	P28072
P43686	P51665
P46060	P49792
Q9BUQ8	Q15029
O14818	P28072
Q13043	Q13188
Q96MF7	Q96SB8
P42025	Q14203
Q9BTT4	Q9P086
Q9BUQ8	O43395
Q9BTC8	O94776
Q13769	Q8NI27
Q9H147	Q6PJG2
P55036	O00232
Q99459	O75934
Q9UNX4	Q12788
P09496	Q00610
P14868	Q12904
Q9NPJ6	O75448
Q9H944	O75448
O75448	A0JLT2
Q96RT7	P23258
Q92925	O14497
P22392	Q9UI15
Q15019	Q99719
Q13868	Q9NQT4
O43242	P35998
P53992	Q15437
P09651	P31942
Q8WWY3	Q9BUQ8
O75533	Q13435
Q8WXI9	O95983
Q9H0L4	Q05048
Q6STE5	Q4VC05
Q9NPD3	Q5RKV6
Q8WUZ0	Q92922
P33992	P33991
P55036	P17980
Q9Y4Z0	P62312
Q9NQT4	Q01780
P59998	O15143
P62875	P36954
P28070	P25789
Q9P2I0	Q6UN15
Q9H9Y6	Q9Y2S0
Q96MF7	Q96MG7
Q9P2J5	Q12904
Q96HW7	Q6P9B9
P54136	Q15046
P28066	P28062
O95983	O94776
Q9NRW7	Q9H1K0
Q9H9T3	Q6IA86
Q9UBQ5	P55884
P17980	O00232
P62333	O43242
P60900	Q8TAA3
O00487	Q9BRP4
Q6IA86	O95163
O00233	P17980
Q6STE5	P51532
O14776	Q5VWI1
P49368	P50990
O15212	Q9UHV9
O60244	A0JLT2
Q9UBB9	Q9Y5B6
P24534	P68104
Q15008	Q13200
P60228	B5ME19
O94855	O95486
O00268	P49848
J3KPD9 Q32Q12	P09104
Q6P4R8	Q9ULG1
Q9UKF6	Q9C0J8
Q04917	P63104
Q13409	Q14204
Q8TAQ2	Q92784
O00303	Q9UBQ5
P51531	Q9BQE9
O00233	P51665
Q8WVC0	Q8N7H5
Q969G3	Q15532
Q06265	Q01780
Q9GZS3	Q6PD62
Q9UJW0	P61163
P27797	P07237
Q9UJX2	Q96DE5
P22626	P52597
Q9NPJ6	Q6P2C8
Q9NR50	Q14232
P22392	P13929
Q9P2J5	P07814
Q15436	Q15437
P51991	P31943
O14802	Q9H1D9
Q9P2B4	O43815
Q9NVM9	Q5JSJ4
P54136	P47897
P10809	Q8N163
P19447	Q6P1K8
P22626	P31942
Q9NW08	P05423
O94776	Q86YP4
Q9UHV7	A0JLT2
P30260	Q9UJX2
Q96GM5	Q8NFD5
Q8WVM7	Q14683
Q12874	Q15459
Q99460	P62191
Q9BUI4	Q9NW08
Q86YP4	Q13330
P30876	P36954
P68104	P26640
P28074	P28072
P52434	P19388
Q13561	Q14203
P35998	P51665
Q6UN15	Q10570
Q8N7H5	Q6PD62
P53992	Q15436
Q14566	P33993
O75533	Q15393
Q99460	O00233
Q9H9F9	Q9ULG1
Q15554	Q9NYB0
P50552	Q8N8S7
P48643	Q99832
Q15008	Q9UNM6
P09651	P52597
Q99547	Q9NPD3
P25787	P28066
Q4LE39	Q9H0E3
Q9H9Y6	O95602
Q9BTT4	Q15528
O60934	Q92878
Q14152	B5ME19
P48556	Q13200
Q969G3	P51532
O43660	Q99459
Q16401	P62191
P40227	P50991
Q6I9Y2	Q96J01
Q8WXI9	Q9UBB5
P07814	Q12904
P33993	Q9BTE3
Q92526	P49368
P62333	P43686
Q9BUI4	Q9H1D9
Q9H944	Q9BUE0
Q9UNM6	P62195
P17174	Q9HC38
Q96B26	Q9Y3B2
O14802	O15318
Q9UNM6	Q13200
P20618	P28072
O60506	Q00839
P62195	P48556
Q13409	Q9Y6G9
Q9Y6G9	P63172
P25787	P28074
Q9Y3D8	P49848
Q9P2J5	P47897
P40937	P35250
O00231	O00487
Q9H6T3	O94763
P62333	Q9UNM6
Q9UQE7	Q8WVM7
P60228	O15371
Q3B726	Q9Y2S0
P62191	O43242
Q06547	Q06546
Q99436	P49721
Q4VC05	Q92922
O75586	O60244
Q9UQE7	O60216
Q8NI36	Q12788
Q06265	Q9NQT5
Q9NQT5	Q9Y3B2
P14868	Q9P2J5
Q92797	O95639
Q8TAA3	P25788
O43660	Q9UMS4
O75832	O43242
Q8WUZ0	Q12824
P55036	P62195
P28070	P28074
P49848	P21675
Q9NVH2	Q6P9B9
B5ME19	O15371
O43242	P43686
Q8NFD5	Q9BQE9
Q99816	Q9UK41
Q9BTC8	Q13330
Q10570	Q9UKF6
Q9UI10	Q14232
Q99547	Q13868
Q8TAA3	P25786
Q9NPD3	Q9NQT4
Q9UNS2	Q9BT78
O00232	Q16401
P35998	P43686
Q12824	O14497
P60900	P28066
Q92784	Q8NFD5
Q9BTC8	Q9UBB5
Q13547	Q92769
Q8WWY3	O43172
Q8IZL8	Q9H4L4
Q9H0H0	Q96N11
Q9BUL8	O00506
Q8NI27	Q6I9Y2
Q8WUM0	P57740
O75643	Q15029
Q9NVU0	Q9Y535
P62191	P48556
P25786	P28070
O00232	P48556
Q14694	Q13283
P55036	Q13200
P78371	P50990
Q9NX70	Q6P2C8
Q99460	Q13200
O14818	P25789
P49368	P17987
Q92925	Q92785
Q9BUE0	Q96G25
O75521	Q13011
Q92526	P50991
Q14691	Q9BRT9
Q96GM5	Q8WUZ0
Q969G3	P51531
Q13868	Q01780
Q13409	O43237
P36957	P11182
O14818	P28062
Q92600	A5YKK6
P25786	P28072
P43246	P52701
Q06830	P30048
P29374	Q96ST3
P22392	P62942
O43172	Q9BUQ8
P61163	Q13561
P40227	Q99832
Q8WXI9	O94776
Q96N11	Q75QN2
A0JLT2	Q6P2C8
Q8WWY3	O43290
P28072	P49721
Q9NVM9	Q96N11
Q9UHV7	Q9Y2X0
P10515	P36957
