P04217,O95255
P00325,P01011
P01023,P21980
P04217,Q13162
P20700,P01011
P19838,P01011
P11766,P11766
P11766,P27540
P28332,P49407
P42081,P09874
P04217,Q8WTS6
O95477,P21980
O95477,Q9Y6K9
O95255,P54819
P31751,P02647
P31751,P04114
Q13740,Q13508
P00352,P05091
P04075,P04075
P04075,P05062
P04075,O15382
P42684,P08631
P42684,Q16890
Q13489,P55211
P16219,Q92985
Q99437,P25445
P30281,P25445
P49748,P08865
P49407,Q99933
P49407,Q06187
P04424,P04424
P00966,P00966
P51164,P07738
Q92934,Q07817
P63261,Q14161
P55212,P55212
P04040,P04040
P12814,Q9Y6R0
P12814,Q14161
P00813,Q92629
P00813,O75928
P30281,P11802
Q92934,P38936
P24385,P38936
P30281,P38936
P24864,P38936
P55265,P21980
Q07021,P49715
P07738,P19835
P15289,P41208
P51828,P12956
P51828,O15162
P51828,P41223
P20292,O00299
P24539,O00299
P27449,O00299
Q93050,O00299
P01011,Q9P1U0
P07327,P19784
P07327,Q16836
P00325,P29590
P00325,Q5VU43
P11766,P67870
P11766,P11474
P11766,Q06830
P11766,P04004
P28332,P01116
P28332,P62273
P02760,P10176
P29275,O43399
Q06278,P46109
Q13323,P46109
Q96G01,Q16539
Q9UKK3,P84022
P04424,P19784
P51946,P67870
P60033,P67870
P20749,P56545
P51946,P56545
P30566,P48745
P56381,P05093
P35520,Q9UER7
Q10567,Q16620
P25445,P24522
P02771,P62873
P02771,Q99436
P02771,Q6P2C8
P30304,P11532
O60238,P51452
P10398,O75461
O60238,Q16610
P23526,P49023
P30304,P68104
P07738,P11161
P35869,Q09472
P49662,Q99607
P02760,P06733
P06733,P05155
P54793,Q09472
P00736,Q09472
P49419,Q12929
P31751,Q16627
P31751,P35326
P31751,O94875
P13196,P00749
P30281,P50549
P03971,P41161
P33897,P08865
P30837,P12104
P30838,P11831
P02647,P23142
P04424,P09467
P49789,P36406
P38398,Q14192
P05062,P15822
P09972,P46734
P09972,Q14534
P30304,P02794
P02760,P40763
P30281,P02774
P08571,P29033
Q06278,P32189
P02743,P32189
