Q14240,Q04637
O95400,Q6P2Q9
P62330,P42704
P61981,P33176
Q14240,Q04637
Q9NVP2,Q8TEX9
Q9UJU6,O95714
Q9NVP2,Q8IWY9
P61981,Q9UQ35
Q9NVP2,Q8TEX9
O75940,Q15393
Q9UNM6,Q13200
Q9NVP2,Q86UE8
Q14164,O75116
P31946,P33176
Q15170,P51784
Q9UNM6,O00232
Q9UKT5,Q13616
Q9UNM6,Q99460
P63279,P46060
O76081,P46459
O75940,O75533
Q9Y2Q3,P42704
Q96T60,P49917
O75940,Q15393
O75832,Q99460
Q9Y2Q3,P42704
Q08117,Q04726
O43586,P37268
O15479,Q93009
P23508,Q00610
P49841,P57678
Q9NPH0,Q13418
O75832,Q13200
Q9UNM6,O00231
P27348,P33176
P31946,Q9UQ35
Q96T60,P49916
O00182,P35222
Q15287,P57678
Q9Y575,Q93034
P42773,P11802
P63279,Q9UBE0
O14730,Q9Y230
P14678,Q6P2Q9
O75832,O00231
Q05639,Q5ST30
O43586,P39023
Q15287,Q9UL63
Q9NRG4,P49841
P31946,Q9Y4H2
Q9NVP2,Q9UKI8
Q15165,Q9Y230
Q9Y265,Q9Y230
Q9UBE0,Q9UBT2
P40337,Q13617
O75832,P62195
P62330,P46940
Q9Y6E0,O43815
O95400,Q9BUQ8
P63104,P33176
P31930,Q9Y230
Q9HC98,Q8TD19
O00115,Q9Y230
P49841,Q9NRG4
P31946,Q9P0K7
Q13418,Q9NPH0
P43686,Q13200
P23508,O43815
P53680,P50053
P23508,Q9Y6E0
O75352,Q15014
P40337,Q9Y376
O75832,P43686
Q9UNM6,P17980
Q9UJU6,Q13227
Q9Y478,P13807
P31946,P15056
Q9UNM6,O43242
Q15654,P07237
Q05639,P29692
Q14164,Q00610
Q9UNM6,P62191
Q15287,Q6P2Q9
Q9Y6E0,Q13033
Q14240,Q53EL6
Q14240,P07237
Q9UBC1,P57678
Q15287,Q9Y383
P40337,O43294
Q9NY93,Q9BQG0
P61981,Q9H0B6
Q9NSA3,P35222
O75940,Q13435
Q9NSA3,P16278
Q15287,Q13523
P62140,Q15435
P61981,Q92538
Q14164,P42704
O43586,P31939
Q08117,Q04724
Q9NX58,Q9NR30
Q9UNM6,P43686
Q9HAW0,Q9UIA9
P43686,P62195
Q9BUV8,P28288
P61981,P15056
P63279,P49792
O43660,Q99459
O75832,P62191
Q15287,P68400
Q9NRG4,Q9Y2J2
P60842,Q04637
P43360,P42704
P26441,O75716
Q9UNM6,P35998
O75832,O60496
Q9Y6E0,O43815
Q9UBC1,P82650
Q12974,Q8NE01
O75940,P39023
P61981,Q9Y2J2
P11171,P35579
Q9BUV8,Q9NVI7
P32121,Q14978
Q9Y6E0,Q13033
O75688,O95267
P42773,Q00534
P61981,Q9H4L5
P31930,P22695
P23508,Q13033
Q9Y6E0,P30153
P01106,Q92621
O75365,Q8TEX9
O94907,P31146
P61981,Q7Z460
P32121,Q14978
P49841,Q9UHI6
P01106,P52701
O75832,O43242
P19532,P15121
P19532,Q00610
Q96T60,P18887
O75832,P17980
O14874,Q9Y376
O75365,Q9HAV4
P31946,P40818
Q14164,P07814
Q06609,Q9Y376
P61981,Q86W92
P49407,P50053
O95379,Q12974
P51946,P51948
Q13617,P07237
P37268,Q9Y265
P32121,Q13428
Q9Y2Q3,Q9HAV4
P22392,Q15435
P43686,P62195
Q15287,Q9UHI6
Q9P2E9,P60981
P23508,Q9NRL3
P62140,O14974
P31946,Q9Y2J2
P19532,P53396
P24941,P11171
P31946,Q8TEW0
P62330,P54577
Q15287,P49756
P43686,Q99460
P18887,P49916
P32121,Q96GQ7
O75365,P42704
P60842,Q53EL6
Q9UKS6,P11217
Q9UNM6,P62195
P19532,P53396
P49407,Q14978
P61981,Q9UDY2
P52565,P61586
Q9NX58,P62750
Q8IXJ6,P49591
Q9UQM7,Q13554
Q14164,P12268
Q9UQM7,Q13557
P23508,P07814
P43686,O75832
Q12974,Q6P4Q7
Q05084,O75716
Q9HAW0,Q8TEX9
Q9Y2Q3,Q8TEX9
Q9NX58,Q9BQG0
Q12974,P49354
Q15287,O75533
O75940,Q9NR30
Q13177,Q9Y2X7
P60520,P69891
Q9NS64,Q13616
Q9Y6E0,Q9BUL8
Q9UNS2,O14832
O75832,P35998
O43586,P62750
Q9Y4K3,P58107
P49407,Q14978
P32121,O00203
P01106,P33993
Q9HC98,Q93008
Q9UBC1,O14593
Q9Y2B9,P17612
P27348,O60282
P11802,Q16543
Q9H3R5,Q15126
P01106,Q07864
Q96T60,P25205
P61981,Q9UJ41
Q93063,O75716
Q9Y230,Q9BVM2
Q9NSA3,P14923
Q02790,Q9UBE0
Q00169,Q15126
P10644,P17612
P62491,Q6WKZ4
Q9Y6E0,Q9NRL3
P23508,P30153
Q14232,Q9NR50
O75365,P28288
P61981,Q13523
P49841,Q9Y3F4
Q15287,P19784
P52565,P63000
O75365,Q8NE01
Q9NRG4,O75122
P22392,P58107
O75832,P51665
O43791,Q8IXJ6
P61981,Q9Y4H2
P49407,O00203
Q9NVP2,Q13112
O00115,Q9Y265
Q9BW60,O75832
Q9UNM6,O00487
Q15287,Q9NQ29
O15479,P61247
Q9Y265,Q9BVM2
P61981,Q8TEW0
O14519,P04745
Q9Y6E0,O00506
P61981,O96013
Q05084,P26441
O75832,P62333
Q9UNM6,P51665
Q12974,P49356
Q9NS64,Q9UKB1
Q15853,P22415
P62330,P58107
Q05639,P24534
P61981,Q7KZI7
P52565,P08134
Q14240,O43795
Q15287,Q96SB4
O60232,O60496
Q9NY93,P82663
P15090,Q93063
P14678,P50053
Q9BUV8,Q5T9A4
O15479,P62750
Q9Y5J5,Q8N1F7
Q15287,P67870
Q15287,Q9H307
P11802,P42771
Q8N726,Q15287,P26368
P31946,Q9H0H5
Q9Y2Q3,Q8WUM4
Q9Y5L4,Q9Y376
P63104,Q9Y2J2
Q14240,P11940
Q96BK5,Q9NW61
O43660,O75934
P40337,O75716
P41235,O76070
O00264,Q9BUP0
P31946,Q02241
P32121,O00505
Q9UFF9,Q9H9A5
P10644,P61081
Q9Y2Q3,P58107
P61981,Q9P0K7
P35613,O14593
Q14164,P35580
P22392,P53396
Q9Y4K3,O15067
P18887,Q96T60
Q92796,Q9UQM7
Q96RG2,O75716
Q14240,O43432
Q14164,P11940
P61026,P61006
O00422,P04844
Q9UGT4,P09382
P49407,Q13428
P23508,P55072
Q96EZ8,P67870
P49407,O14646
Q13541,P06730
P15090,Q92882
Q96BK5,P11940
O75116,O75716
P62140,P41236
Q9Y5J5,Q8WUM4
Q9Y478,Q9H2U1
O75365,Q9Y5M8
P52565,P60953
P63104,P40818
P27348,P15056
Q13617,Q9Y376
P15090,Q92882
Q14164,P53396
Q9UBC1,Q9NQ29
Q9UBN6,P42704
P78545,P07237
Q93063,O76070
Q9NX58,Q6P158
Q9Y6E0,P62714
P27348,Q96T60
Q9NS64,P11802
Q9Y675,O75533
O95379,Q93096
P01241,P09960
O15479,P39019
O75365,Q9UIA9
P32121,O00629
Q7L1Q6,Q9Y6E2
Q14240,O00571
O43586,P62910
O75365,O43242
P27348,Q9Y2J2
Q9NPH0,O43665
P60510,Q8TF05
P61966,P61026
Q9NVP2,P61247
Q96BK5,P10599
O75688,P05783
Q16611,Q12802
P78396,O43294
Q14240,P78344
Q9Y2Q3,Q9UGP8
O00182,P14923
Q9NX58,P39023
