Q13685	Q8N1B4
Q13685	O14503
Q13685	Q8WTP8
Q16613	Q99750
Q16613	O14503
W6JLF7 A0A087X0C2 A0A087X009	Q96HH9
W6JLF7 A0A087X0C2 A0A087X009	Q9BSE2
Q9BWD1	Q9BWD1
Q9BWD1	Q8TBB1
P60709	P60709
P60709	P63261
P60709	P23528
P60709	Q9Y281
P60709	Q08426
P60709	P40123
P60709	P60981
P60709	Q96HA8
P63261	P63261
P63261	P23528
P63261	Q9Y281
P63261	Q08426
P63261	P40123
P63261	P60981
P63261	O60826
P63261	Q96HA8
O43707	Q08043
O43707	P18075
O43707	Q9NPC6
P12814	P12814
P12814	Q08043
P12814	P00973
P12814	Q7L775
P12814	Q9NPC6
P12814	Q8IY33
P12814	Q8NC69
P12814	Q8NA61
P35609	P35609
P35609	P00540
P35609	O95863
P35609	P23497
P35609	Q53GG5
P35609	Q9NPC6
P35609	Q8IY33
P35609	Q5PSV4
P35609	Q8IYX7
P35609	Q14D33
Q08043	Q08043
Q08043	Q04864
Q08043	Q13077
Q08043	Q12933
Q08043	O76041
Q08043	Q9P2A4
Q08043	Q6ZNA4
Q08043	Q9H7P9
Q08043	Q6P1W5
Q08043	Q8NC69
Q03154	P36639
P14621	O00204
P14621	Q9NS37
P35611	Q9NP66
P54922	Q12800
P63010	P12236
P63010	P52292
P63010	Q01081
P63010	Q9Y6Q5
P63010	O95398
P63010	Q99757
P63010	Q9UHB7
P63010	Q9NVV9
P63010	Q9Y6H3
P63010	Q8WWR8
O43747	P56377
O43747	Q96S82
Q08117	Q08117
Q08117	P41182
Q08117	Q13895
Q08117	O43186
Q08117	P26196
Q08117	P14136
Q08117	Q08379
Q08117	P62993
Q08117	P52597
Q08117	Q9BVG8
Q08117	P13646
Q08117	P19012
Q08117	Q15323
Q08117	P25800
Q08117	P25791
Q08117	P84022
Q08117	Q9NR56
Q08117	P55081
Q08117	O15320 Q96PC5
Q08117	Q15742
Q08117	Q13131
Q08117	P54646
Q08117	P47897
Q08117	Q04864
Q08117	P14373
Q08117	O00560
Q08117	Q15475
Q08117	P12757
Q08117	P09234
Q08117	P35711
Q08117	P78362
Q08117	P15884
Q08117	O15119
Q08117	Q9UH92
Q08117	Q13077
Q08117	Q12933
Q08117	Q12899
Q08117	P98175
Q08117	P61968
Q08117	O14503
Q08117	O75716
Q08117	O75558
Q08117	O75909
Q08117	O60573
Q08117	Q15014
Q08117	A7KAX9
Q08117	O43167
Q08117	O75069
Q08117	Q9NYB9
Q08117	Q13137
Q08117	Q9HC98
Q08117	O43559
Q08117	Q93062
Q08117	P26368
Q08117	Q9UKT9
Q08117	Q8TBE0
Q08117	Q9UBB6
Q08117	Q14689
Q08117	Q5JR59
Q08117	O95751
Q08117	Q63ZY3
Q08117	Q9H8Y8
Q08117	Q8WWY3
Q08117	Q9NPJ6
